Title,Description,Dispute Reason,Raised Date,Resolution Date,Status,Priority,Disputed Amount,Refund Amount,Compensation Amount,Resolution Notes,Order ID,Product ID,Complainant Company ID,Respondent Company ID,Complainant User ID,Buyer ID,Seller ID
Lead quality concern,Contact numbers unreachable for 40% of leads,DATA_QUALITY_ISSUE,2024-02-10T09:00:00Z,,IN_PROGRESS,HIGH,1200.00,,,Escalated to seller support for investigation,,,1,2,1,1,
Late delivery issue,Promised data bundle delivered 48 hours late,NON_DELIVERY_OF_LEADS,2024-03-05T14:30:00Z,,ESCALATED,MEDIUM,850.00,,125.00,Awaiting logistics follow-up,,,2,3,2,2,
Refund granted for duplicates,Duplicate records identified across batches,PAYMENT_ISSUE,2023-11-18T08:15:00Z,2023-12-02T17:45:00Z,RESOLVED,URGENT,640.00,640.00,,Customer services issued full refund,,,3,1,3,3,
Consent documentation missing,Buyer reported consent proof absent in file delivery,GDPR_COMPLIANCE_ISSUE,2024-01-12T09:40:00Z,,IN_PROGRESS,URGENT,950.00,,,Awaiting compliance evidence,,,2,1,4,4,12
Billing mismatch investigation,Invoice totals differ from contract terms,PAYMENT_ISSUE,2023-10-03T15:55:00Z,2023-10-18T11:20:00Z,RESOLVED,HIGH,480.00,280.00,,Partial refund issued to buyer,,,1,3,2,5,21
Duplicate delivery channels,Lead batch duplicated across delivery endpoints,OTHER,2024-04-01T07:25:00Z,,DISPUTED,MEDIUM,530.00,,,Monitoring vendor response timeline,,,3,2,5,6,34
Incorrect industry targeting,Delivered records outside requested sector,FALSE_OR_MISLEADING_INFORMATION,2023-08-27T10:05:00Z,2023-09-05T09:35:00Z,REFUNDED,HIGH,720.00,720.00,50.00,Full refund and gesture credit applied,,,2,3,1,7,44
Slow replacement turnaround,Replacement leads still pending after approval,NON_DELIVERY_OF_LEADS,2024-02-22T13:15:00Z,,ESCALATED,HIGH,410.00,,,Escalated to vendor success,,,1,2,3,8,27
Invalid contact times,Leads supplied with unreachable scheduling windows,BAD_CONTACT,2024-03-14T16:40:00Z,,IN_PROGRESS,MEDIUM,360.00,,,Awaiting updated contact attempts,,,3,1,3,9,18
GDPR opt out flag missing,Records missing documented opt out state,GDPR_COMPLIANCE_ISSUE,2023-12-06T08:05:00Z,2024-01-09T14:10:00Z,CLOSED,HIGH,550.00,200.00,,Compliance checklist updated with vendor,,,2,3,5,10,30
Delayed onboarding files,Seller failed to share onboarding playbooks timely,OTHER,2024-04-25T11:50:00Z,,IN_PROGRESS,LOW,150.00,,,Reminder sent to account team,,,1,3,4,11,
Payment gateway reversal,Charge reversed before service delivered,PAYMENT_ISSUE,2024-01-30T09:45:00Z,2024-02-07T12:00:00Z,RESOLVED,MEDIUM,990.00,990.00,,Buyer credited after audit,,,3,2,2,12,63
Lead volume shortfall,Delivered volume ten percent below guarantee,NON_DELIVERY_OF_LEADS,2024-02-05T10:20:00Z,,IN_PROGRESS,HIGH,670.00,,,Pending vendor capacity report,,,2,1,1,13,24
